22117.7,262110
2.61612,20154
2.34286,157958
2.19623,252493
2.16657,123046
2.08031,228630
2.07798,130560
2.06825,161017
2.06768,248446
2.05953,193717
2.03192,171326
2.01179,171026
1.98704,262049
1.98675,254767
1.97369,183368
1.9246,62021
1.90372,229666
1.89154,257865
1.88271,124718
1.8821,249875
1.87639,28652
1.87355,202742
1.87281,246562
1.86787,72094
1.85236,139615
1.83501,49904
1.80887,151216
1.80714,246150
1.80517,102701
1.80457,115917
1.79706,187261
1.79604,157957
1.78976,128258
1.78908,20152
1.77531,125450
1.77026,220034
1.76742,256638
1.7662,183187
1.7627,241086
1.7581,187048
1.745,218304
1.74192,66627
1.73981,206491
1.73941,257696
1.73937,188671
1.73892,242992
1.73687,135373
1.73171,118051
1.72244,164149
1.72191,200346
1.71785,178399
1.71057,189884
1.70727,200044
1.70711,162658
1.70483,145490
1.70138,192625
1.69715,150853
1.69517,253536
1.68817,63835
1.68571,48800
1.68318,202743
1.68117,130556
1.68101,173969
1.66691,208498
1.65847,243331
1.65589,232064
1.65566,246087
1.65565,204953
1.65483,245914
1.65135,187940
1.64882,131658
1.64815,166156
1.64313,213692
1.64138,254775
1.6388,233647
1.63843,12811
1.63664,64802
1.63649,254009
1.6349,233646
1.6341,9964
1.63409,234501
1.63141,211292
1.62628,20833
1.62415,243102
1.62104,227750
1.61819,240164
1.61411,5766
1.60628,252492
1.60498,242146
1.60307,74282
1.6017,189475
1.59236,202950
1.59155,220572
1.58588,105013
1.58575,25296
1.58384,54644
1.5765,201149
1.57648,243907
1.57544,96212
1.57538,142306
1.56744,127484
1.56117,235380
1.56092,104791
1.56037,152904
1.55753,181095
1.55076,83883
1.54965,9874
1.54886,115376
1.5452,253342
1.54451,176069
1.54281,116451
1.53427,181620
1.5309,238698
1.53044,168685
1.5272,153997
1.52276,201200
1.5224,215575
1.51917,123962
1.51905,113212
1.51884,15638
1.51827,128447
1.51473,152892
1.51255,133974
1.50914,213542
1.50879,233178
1.50723,104882
1.50651,188861
1.50585,8881
1.50377,162022
1.50215,117059
1.50145,190878
1.50079,56527
1.49755,247172
1.49727,121895
1.49114,216665
1.49022,185330
1.48998,259189
1.48886,158861
1.48765,204450
1.48492,85609
1.48487,144986
1.48456,256317
1.48315,182851
1.48128,217135
1.48002,247431
1.4787,166987
1.4785,175180
1.47829,110451
1.47739,207614
1.47719,247433
1.47684,130358
1.47517,134371
1.47227,159951
1.47009,111664
1.46892,196601
1.46842,161341
1.46832,204231
1.46315,259130
1.46283,232811
1.46267,208406
1.46206,242816
1.4603,163131
1.46025,232757
1.45971,157194
1.45961,235485
1.45733,48270
1.45693,139014
1.45603,45738
1.45421,108637
1.45262,171025
1.44817,216534
1.44626,14094
1.44623,166564
1.44321,249399
1.44009,16434
1.43955,168038
1.43792,211713
1.43777,23795
1.43747,49906
1.43666,93263
1.43459,1481
1.43425,32274
1.4337,234360
1.43349,242661
1.43342,210580
1.43187,183751
1.4298,161365
1.42923,169674
1.4268,110515
1.42584,54014
1.42582,210373
1.42463,239562
1.42087,232002
1.4191,148781
1.41888,184185
1.41836,52803
1.41721,128448
1.41698,251926
1.41594,213691
1.41589,198994
1.41366,156349
1.41356,170483
1.41246,122928
1.41223,57750
1.4122,176424
1.41074,225250
1.41042,181307
1.40881,31653
1.40853,244304
1.40852,203753
1.40814,161367
1.40653,168176
1.4061,232999
1.40598,5209
1.40557,98645
1.4044,226920
1.40391,145473
1.40372,242254
1.40349,184126
1.40319,84898
1.40209,130004
1.40204,158160
1.40148,248961
1.39926,67697
1.39879,193816
1.39873,163204
1.39635,209329
1.39486,203144
1.39314,134589
1.39309,100782
1.3929,191332
1.39169,204266
1.38876,213602
1.386,140176
1.38375,246834
1.38255,236044
1.38192,254766
1.38025,234706
1.37912,258189
1.37868,212643
1.37766,28651
1.37757,183754
1.37752,256752
1.37705,106703
1.37576,30491
1.37516,185639
1.37427,205911
1.37363,173142
1.37201,232039
1.37111,159629
1.37093,100196
1.37051,72345
1.37004,69841
1.36924,193130
1.36856,170914
1.36566,211712
1.36419,93638
1.36396,169728
1.36294,72497
1.362,234543
1.36013,109351
1.36001,225404
1.35971,83706
1.35958,192403
1.35713,31213
1.35556,132397
1.35507,32186
1.35165,186539
1.35044,206164
1.35031,185146
1.34957,215444
1.34951,146925
1.34915,231005
1.34902,191770
1.34779,112486
1.34679,134603
1.34584,178513
1.34535,195377
1.34447,253227
1.34343,132085
1.34116,163079
1.33986,35885
1.33964,18285
1.33877,228659
1.33733,141430
1.33713,226019
1.33699,206482
1.33685,100371
1.33655,50218
1.33579,183258
1.33543,255855
1.33456,65146
1.33363,193715
1.33221,248444
1.33179,258889
1.33131,204463
1.3312,238913
1.32989,213448
1.32841,262038
1.32681,248281
1.32658,180648
1.32564,247737
1.32482,196696
1.32466,155584
1.32401,227211
1.32401,1337
1.3217,1924
1.32161,227006
1.32066,243529
1.32065,68363
1.31925,207112
1.3186,131905
1.31821,115130
1.31729,249086
1.31676,146914
1.31609,210008
1.31553,215018
1.31553,217391
1.31386,92205
1.31344,210271
1.31333,203407
1.3133,23092
1.31325,117577
1.31255,34564
1.31245,44558
1.31212,198802
1.31083,152083
1.31008,146579
1.30913,62020
1.30736,43844
1.3053,43377
1.30522,80698
1.30497,36902
1.30496,200638
1.30438,124900
1.304,248445
1.30308,6590
1.30284,208820
1.30128,234211
1.30123,28531
1.30118,234769
1.3006,194813
1.30033,200129
1.30014,254156
1.30009,73043
1.2999,119145
1.29976,35327
1.2986,147137
1.29838,227845
1.29588,30264
1.29441,192044
1.29428,130982
1.29367,207032
1.29278,210246
1.29193,201985
1.29115,182897
1.29112,69951
1.29066,249222
1.29,152751
1.28984,58807
1.28979,116825
1.2897,246369
1.28955,156771
1.2892,175860
1.28895,214070
1.28772,130544
1.28694,155193
1.28634,47266
1.28621,198796
1.28606,222513
1.28576,154327
1.2818,240584
1.28174,80275
1.28081,162388
1.28074,50197
1.28005,73602
1.27953,256744
1.27871,111009
1.27795,166517
1.27784,36984
1.27715,235882
1.27704,170289
1.27576,30421
1.27551,46158
